"Percent Total","Domain","Owner","Owner Country","Owner Lineage"
"90.0","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet "
"80.0","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"75.0","google.com","Google","US","Google > Alphabet "
"60.0","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet "
"55.0","facebook.com","Facebook","US","Facebook "
"55.0","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet "
"55.0","googletagservices.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"55.0","gstatic.com","Google","US","Google > Alphabet "
"50.0","alexametrics.com","Alexa","US","Alexa > Amazon "
"50.0","facebook.net","Facebook","US","Facebook "
"45.0","cloudfront.net","Amazon Web Services","US","Amazon Web Services > Amazon "
"45.0","googletagmanager.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"30.0","ampproject.org","Unknown","",""
"20.0","criteo.com","Criteo","FR","Criteo "
"20.0","criteo.net","Criteo","FR","Criteo "
"20.0","googleadservices.com","AdSense","US","AdSense > Google > Alphabet "
"15.0","2mdn.net","DoubleClick","US","DoubleClick > Google > Alphabet "
"15.0","adnxs.com","AppNexus","US","AppNexus "
"15.0","amazonaws.com","Amazon Web Services","US","Amazon Web Services > Amazon "
"15.0","cloudflare.com","Cloudflare","US","Cloudflare "
"15.0","demdex.net","Adobe Audience Manager","US","Adobe Audience Manager > Adobe Systems "
"15.0","effectivemeasure.net","Narratiive","AU","Narratiive "
"15.0","everesttech.net","Adobe Systems","US","Adobe Systems "
"15.0","scorecardresearch.com","ScorecardResearch","US","ScorecardResearch > comScore "
"15.0","twitter.com","Twitter","US","Twitter "
"10.0","adobedtm.com","Adobe Marketing Cloud","US","Adobe Marketing Cloud > Adobe Systems "
"10.0","ads-twitter.com","Twitter","US","Twitter "
"10.0","adsrvr.org","The Trade Desk","US","The Trade Desk "
"10.0","amazon-adsystem.com","Amazon Marketing Services","US","Amazon Marketing Services > Amazon "
"10.0","casalemedia.com","Index Exchange","CA","Index Exchange "
"10.0","chartbeat.com","Chartbeat","US","Chartbeat "
"10.0","creativecdn.com","Unknown","",""
"10.0","fontawesome.com","Unknown","",""
"10.0","hotjar.com","Hotjar","MT","Hotjar "
"10.0","onesignal.com","Unknown","",""
"10.0","optimizely.com","Optimizely","US","Optimizely "
"10.0","pubmatic.com","PubMatic","US","PubMatic "
"10.0","rlcdn.com","LiveRamp","US","LiveRamp > Acxiom "
"10.0","t.co","Twitter","US","Twitter "
"5.0","24.co.za","Unknown","",""
"5.0","24.com","Unknown","",""
"5.0","accuweather.com","Accuweather","US","Accuweather "
"5.0","acuityplatform.com","Unknown","",""
"5.0","addthis.com","AddThis","US","AddThis > Oracle "
"5.0","addthisedge.com","AddThis","US","AddThis > Oracle "
"5.0","adentifi.com","Unknown","",""
"5.0","adform.net","AdForm","DK","AdForm "
"5.0","advertising.com","ONE by Aol","US","ONE by Aol > Aol > Oath > Verizon "
"5.0","amazon.ae","Unknown","",""
"5.0","amazon.com","Amazon","US","Amazon "
"5.0","amplitude.com","Amplitude","US","Amplitude "
"5.0","aniview.com","Unknown","",""
"5.0","ardaad.com","Unknown","",""
"5.0","atdmt.com","Microsoft","US","Microsoft "
"5.0","bidr.io","Beeswax","US","Beeswax "
"5.0","bidswitch.net","Bidswitch","UK","Bidswitch > IPONWEB "
"5.0","bluekai.com","Blue Kai","US","Blue Kai > Oracle "
"5.0","bootstrapcdn.com","StackPath","US","StackPath "
"5.0","brandmetrics.com","Unknown","",""
"5.0","brealtime.com","Unknown","",""
"5.0","broadcastbed.com","Unknown","",""
"5.0","chartbeat.net","Chartbeat","US","Chartbeat "
"5.0","classistatic.com","Unknown","",""
"5.0","consensu.org","Unknown","",""
"5.0","contentsquare.net","Unknown","",""
"5.0","contextweb.com","PulsePoint","US","PulsePoint "
"5.0","cxense.com","Cxense","NO","Cxense "
"5.0","disqus.com","Disqus","US","Disqus > Zeta Global "
"5.0","dmcdn.net","Unknown","",""
"5.0","domslc.com","Unknown","",""
"5.0","dotomi.com","Dotomi","US","Dotomi > Conversant Media "
"5.0","dugout.com","Unknown","",""
"5.0","dyntrk.com","Dynadmic","FR","Dynadmic "
"5.0","ebayimg.com","Unknown","",""
"5.0","elmogaz.com","Unknown","",""
"5.0","engageya.com","Unknown","",""
"5.0","exelator.com","exelate","US","exelate > Nielsen Online "
"5.0","eyeviewads.com","Eyeview","US","Eyeview "
"5.0","gravatar.com","Gravatar","US","Gravatar > Automattic "
"5.0","gumgum.com","Gumgum","US","Gumgum "
"5.0","hsoub.com","Unknown","",""
"5.0","indexww.com","Index Exchange","CA","Index Exchange "
"5.0","ingage.tech","Unknown","",""
"5.0","innovid.com","Innovid","US","Innovid "
"5.0","insticator.com","Unknown","",""
"5.0","islamist-movements.com","Unknown","",""
"5.0","jquery.com","jQuery Foundation","US","jQuery Foundation "
"5.0","jsdelivr.net","jsDelivr","US","jsDelivr > Prospect One "
"5.0","jubnaadserve.com","Unknown","",""
"5.0","jumia.is","Unknown","",""
"5.0","krxd.net","Krux Digital","US","Krux Digital > Salesforce "
"5.0","kxcdn.com","Unknown","",""
"5.0","liadm.com","Unknown","",""
"5.0","linksynergy.com","Unknown","",""
"5.0","lkqd.net","Unknown","",""
"5.0","loopme.me","Loopme","UK","Loopme "
"5.0","mailchimp.com","Mailchimp","US","Mailchimp "
"5.0","marfeelcache.com","Unknown","",""
"5.0","mathtag.com","Media Math","US","Media Math "
"5.0","maxymiser.net","Unknown","",""
