"Percent Total","Owner","Owner Country","Owner Lineage","Data Transfered (bytes)"
"9.2","Microsoft","US","Microsoft ","5527675"
"6.21","Alphabet","US","Alphabet ","3731061"
"6.21","Google","US","Google > Alphabet ","3731061"
"2.84","Alibaba","CN","Alibaba ","1708595"
"2.13","Oath","US","Oath > Verizon ","1280042"
"2.13","Verizon","US","Verizon ","1280042"
"2.12","Yahoo","US","Yahoo > Oath > Verizon ","1275427"
"1.7","AdSense","US","AdSense > Google > Alphabet ","1024033"
"1.15","Facebook","US","Facebook ","691871"
"0.76","Google Tag Manager","US","Google Tag Manager > Google > Alphabet ","456794"
"0.68","DoubleClick","US","DoubleClick > Google > Alphabet ","405578"
"0.52","Yandex","RU","Yandex ","314080"
"0.52","Spot X Change","US","Spot X Change ","310809"
"0.5","Google APIs","US","Google APIs > Google > Alphabet ","301898"
"0.45","Google Analytics","US","Google Analytics > Google > Alphabet ","269918"
"0.4","StackPath","US","StackPath ","242662"
"0.36","YouTube","US","YouTube > Google > Alphabet ","214854"
"0.35","Adobe Systems","US","Adobe Systems ","209170"
"0.33","Typekit","US","Typekit > Adobe Systems ","197929"
"0.32","Altice SA","LU","Altice SA ","191143"
"0.32","Teads","US","Teads > Altice SA ","191143"
"0.29","Gigya","US","Gigya ","173278"
"0.19","Akamai","US","Akamai ","115754"
"0.19","Soasta","US","Soasta > Akamai ","115347"
"0.17","Moat","US","Moat > Oracle ","101116"
"0.17","Oracle","US","Oracle ","101116"
"0.16","jsDelivr","US","jsDelivr > Prospect One ","95626"
"0.16","Prospect One","US","Prospect One ","95626"
"0.15","Integral Ad Science","US","Integral Ad Science ","92304"
"0.15","Ve Interactive","UK","Ve Interactive ","89046"
"0.14","Outbrain","US","Outbrain ","82771"
"0.11","jQuery Foundation","US","jQuery Foundation ","64909"
"0.11","Cloudflare","US","Cloudflare ","63410"
"0.09","Criteo","FR","Criteo ","53168"
"0.09","Amazon","US","Amazon ","51629"
"0.08","CreateJS","CA","CreateJS ","49618"
"0.06","Amazon Web Services","US","Amazon Web Services > Amazon ","33459"
"0.06","Tealium","US","Tealium ","33441"
"0.05","Twitter","US","Twitter ","32422"
"0.03","Amazon Marketing Services","US","Amazon Marketing Services > Amazon ","15411"
"0.02","Narratiive","AU","Narratiive ","13394"
"0.02","New Relic","US","New Relic ","10044"
"0.01","Zendesk","US","Zendesk ","8290"
"0.01","Bing","US","Bing > Microsoft ","7778"
"0.01","Aol","US","Aol > Oath > Verizon ","4615"
"0.01","ONE by Aol","US","ONE by Aol > Aol > Oath > Verizon ","4615"
"0.0","Alexa","US","Alexa > Amazon ","2759"
"0.0","exelate","US","exelate > Nielsen Online ","2724"
"0.0","Nielsen Online","US","Nielsen Online ","2724"
"0.0","weborama","FR","weborama ","2512"
"0.0","The Trade Desk","US","The Trade Desk ","2380"
"0.0","Centro","US","Centro ","2176"
"0.0","SiteScout","US","SiteScout > Centro ","2176"
"0.0","comScore","US","comScore ","2017"
"0.0","ScorecardResearch","US","ScorecardResearch > comScore ","2017"
"0.0","Acxiom","US","Acxiom ","1973"
"0.0","LiveRamp","US","LiveRamp > Acxiom ","1973"
"0.0","Media Math","US","Media Math ","1632"
"0.0","TapAd","US","TapAd ","1632"
"0.0","Golden Gate Capital","US","Golden Gate Capital ","1118"
"0.0","Neustar","US","Neustar > Golden Gate Capital ","1118"
"0.0","Neustar Marketing","US","Neustar Marketing > Neustar > Golden Gate Capital ","1118"
"0.0","OpenX","US","OpenX ","1096"
"0.0","DataXu","US","DataXu ","1088"
"0.0","Skimlinks","UK","Skimlinks ","1050"
"0.0","Crazy Egg","US","Crazy Egg ","746"
"0.0","Dstillery","US","Dstillery ","741"
"0.0","Datonics","US","Datonics ","534"
"0.0","Eyeota","SG","Eyeota ","513"
"0.0","Beeswax","US","Beeswax ","195"
"0.0","Bugsnag","US","Bugsnag ","106"
