"Percentage Pages Tracked","Owner","Owner Country","Owner Lineage"
"94.74","Alphabet","US","Alphabet "
"94.74","Google","US","Google > Alphabet "
"94.74","Google Analytics","US","Google Analytics > Google > Alphabet "
"84.21","DoubleClick","US","DoubleClick > Google > Alphabet "
"84.21","Google Tag Manager","US","Google Tag Manager > Google > Alphabet "
"78.95","AdSense","US","AdSense > Google > Alphabet "
"57.89","Criteo","FR","Criteo "
"57.89","Facebook","US","Facebook "
"57.89","Gemius","PL","Gemius "
"52.63","Google APIs","US","Google APIs > Google > Alphabet "
"47.37","Amazon","US","Amazon "
"42.11","Amazon Web Services","US","Amazon Web Services > Amazon "
"42.11","comScore","US","comScore "
"42.11","ScorecardResearch","US","ScorecardResearch > comScore "
"36.84","Oracle","US","Oracle "
"31.58","Alexa","US","Alexa > Amazon "
"31.58","Blue Kai","US","Blue Kai > Oracle "
"31.58","OpenX","US","OpenX "
"26.32","AdForm","DK","AdForm "
"26.32","AdScale","DE","AdScale "
"26.32","Index Exchange","CA","Index Exchange "
"21.05","AppNexus","US","AppNexus "
"21.05","Bidswitch","UK","Bidswitch > IPONWEB "
"21.05","Golden Gate Capital","US","Golden Gate Capital "
"21.05","IPONWEB","UK","IPONWEB "
"21.05","jsDelivr","US","jsDelivr > Prospect One "
"21.05","Neustar","US","Neustar > Golden Gate Capital "
"21.05","Neustar Marketing","US","Neustar Marketing > Neustar > Golden Gate Capital "
"21.05","Prospect One","US","Prospect One "
"21.05","PubMatic","US","PubMatic "
"21.05","Rubicon Project","US","Rubicon Project "
"21.05","Twitter","US","Twitter "
"21.05","Yandex","RU","Yandex "
"15.79","Adobe Systems","US","Adobe Systems "
"15.79","Hotjar","MT","Hotjar "
"15.79","Media Innovation Group","UK","Media Innovation Group > WPP "
"15.79","Media Math","US","Media Math "
"15.79","Moat","US","Moat > Oracle "
"15.79","Quantcast","US","Quantcast "
"15.79","Sovrn","US","Sovrn "
"15.79","The Trade Desk","US","The Trade Desk "
"15.79","WPP","UK","WPP "
"10.53","Acxiom","US","Acxiom "
"10.53","Adobe Audience Manager","US","Adobe Audience Manager > Adobe Systems "
"10.53","Amobee","US","Amobee > Singtel "
"10.53","Aol","US","Aol > Oath > Verizon "
"10.53","Crownpeak","US","Crownpeak "
"10.53","Evidon","US","Evidon > Crownpeak "
"10.53","iBehavior","US","iBehavior > KBM Group > Young & Rubicam > WPP "
"10.53","Improve Digital","NL","Improve Digital "
"10.53","KBM Group","US","KBM Group > Young & Rubicam > WPP "
"10.53","Krux Digital","US","Krux Digital > Salesforce "
"10.53","LiveRamp","US","LiveRamp > Acxiom "
"10.53","Lotame","US","Lotame "
"10.53","Marimedia","IL","Marimedia "
"10.53","nugg.ad","DE","nugg.ad "
"10.53","Oath","US","Oath > Verizon "
"10.53","ONE by Aol","US","ONE by Aol > Aol > Oath > Verizon "
"10.53","PulsePoint","US","PulsePoint "
"10.53","Rocketfuel","US","Rocketfuel > Sizmek > Vector Capital "
"10.53","Salesforce","US","Salesforce "
"10.53","Singtel","SG","Singtel "
"10.53","Sizmek","US","Sizmek > Vector Capital "
"10.53","Spot X Change","US","Spot X Change "
"10.53","Taptica","US","Taptica > Marimedia "
"10.53","Tremor Video","US","Tremor Video > Taptica > Marimedia "
"10.53","Tube Mogul","US","Tube Mogul > Adobe Systems "
"10.53","Turn","US","Turn > Amobee > Singtel "
"10.53","Vector Capital","US","Vector Capital "
"10.53","Verizon","US","Verizon "
"10.53","Videology Group","US","Videology Group "
"10.53","Yahoo","US","Yahoo > Oath > Verizon "
"10.53","Young & Rubicam","US","Young & Rubicam > WPP "
"5.26","AdBrain","UK","AdBrain "
"5.26","AddThis","US","AddThis > Oracle "
"5.26","Akamai","US","Akamai "
"5.26","Avocet","UK","Avocet "
"5.26","Beeswax","US","Beeswax "
"5.26","Blinkx","US","Blinkx > RhythmOne "
"5.26","Cedexis","US","Cedexis > Citrix "
"5.26","Chartbeat","US","Chartbeat "
"5.26","Citrix","US","Citrix "
"5.26","Cloudflare","US","Cloudflare "
"5.26","Comcast","US","Comcast "
"5.26","Conversant Media","US","Conversant Media "
"5.26","DataXu","US","DataXu "
"5.26","Dotomi","US","Dotomi > Conversant Media "
"5.26","Dynadmic","FR","Dynadmic "
"5.26","Ensighten","US","Ensighten "
"5.26","exelate","US","exelate > Nielsen Online "
"5.26","Eyeota","SG","Eyeota "
"5.26","Eyeview","US","Eyeview "
"5.26","Instagram","US","Instagram > Facebook "
"5.26","Loopme","UK","Loopme "
"5.26","Microsoft","US","Microsoft "
"5.26","New Relic","US","New Relic "
"5.26","Nielsen Online","US","Nielsen Online "
"5.26","Optimizely","US","Optimizely "
"5.26","Resonate","US","Resonate "
"5.26","RhythmOne","US","RhythmOne "
"5.26","Semasio","DE","Semasio "
"5.26","Sharethrough","US","Sharethrough "
"5.26","Signal Digital","US","Signal Digital "
"5.26","Smart AdServer","FR","Smart AdServer "
"5.26","Sonobi","US","Sonobi "
"5.26","StickyADS.tv","US","StickyADS.tv > Comcast "
"5.26","Taboola","US","Taboola "
"5.26","TapAd","US","TapAd "
"5.26","TripleLift","US","TripleLift "
"5.26","TrustArc","US","TrustArc "
"5.26","Webtrekk","DE","Webtrekk "
