"N Pages Loaded","19"
"% of all Pages","100.0"
"% Pages SSL","84.21"
"N Elements Received","3704"
"% Elements Received SSL","94.76"
"N 1P Elements Received","848"
"% 1P Elements Received SSL","92.22"
"N 3P Elements Received","2856"
"% 3P Elements Received SSL","95.52"
"Average Page Load Time (ms)","30781.37"
"% w/3p Element","100.0"
"% w/3p Cookie","94.74"
"% w/3p Javascript","94.74"
"Mean 3p Domains","25.74"
"Median 3p Domains","19"
"Mode 3p Domains","15"
"Mean 3p Cookies","71.95"
"Median 3p Cookies","19"
"Mode 3p Cookies",""
